scheme,individual,contrast_id,description,terms_json,estimate_unit,n_blocks,full_estimate_pp,mean_delete_one_pp,jackknife_bias_corrected_pp,jackknife_se_pp,t_critical_975,ci95_lo_pp,ci95_hi_pp,ci_excludes_zero
loco,ORT15,rescale12_shift_nu_minus_fu,Difference in rescale12 shift: non-UDG minus full-UDG,"[{""state"":""ORT15:nu:rescale12"",""coefficient"":1.0},{""state"":""ORT15:nu:raw"",""coefficient"":-1.0},{""state"":""ORT15:fu:rescale12"",""coefficient"":-1.0},{""state"":""ORT15:fu:raw"",""coefficient"":1.0}]",percentage_points,22,0.103311310749,0.103338140898,0.102747877617,0.0300437003893,2.07961384473,0.0402685823411,0.165227172894,yes
loco,ORT16,raw_nu_minus_raw_fu,Uncorrected non-UDG minus uncorrected full-UDG DeltaALT,"[{""state"":""ORT16:nu:raw"",""coefficient"":1.0},{""state"":""ORT16:fu:raw"",""coefficient"":-1.0}]",percentage_points,22,0.300258220287,0.300241495704,0.300609436535,0.0522101741005,2.07961384473,0.19203243564,0.40918643743,yes
loco,ORT16,fu_trim5_minus_raw,fu trim5 minus fu raw DeltaALT,"[{""state"":""ORT16:fu:trim5"",""coefficient"":1.0},{""state"":""ORT16:fu:raw"",""coefficient"":-1.0}]",percentage_points,22,-0.471596231477,-0.471594086036,-0.47164128574,0.00620936383608,2.07961384473,-0.48455436474,-0.458728206739,yes
loco,ORT16,fu_rescale5_minus_raw,fu rescale5 minus fu raw DeltaALT,"[{""state"":""ORT16:fu:rescale5"",""coefficient"":1.0},{""state"":""ORT16:fu:raw"",""coefficient"":-1.0}]",percentage_points,22,-1.08180858867,-1.0818033406,-1.08191879824,0.010324782204,2.07961384473,-1.10339035825,-1.06044723822,yes
loco,ORT16,fu_rescale12_minus_raw,fu rescale12 minus fu raw DeltaALT,"[{""state"":""ORT16:fu:rescale12"",""coefficient"":1.0},{""state"":""ORT16:fu:raw"",""coefficient"":-1.0}]",percentage_points,22,-1.96947155874,-1.96944921061,-1.9699408693,0.0233171370063,2.07961384473,-2.01843151024,-1.92145022836,yes
loco,ORT16,fu_bamrefine5_minus_raw,fu bamrefine5 minus fu raw DeltaALT,"[{""state"":""ORT16:fu:bamrefine5"",""coefficient"":1.0},{""state"":""ORT16:fu:raw"",""coefficient"":-1.0}]",percentage_points,22,-0.451238309104,-0.451238926928,-0.451225334793,0.00497862256838,2.07961384473,-0.461578947213,-0.440871722372,yes
loco,ORT16,nu_trim5_minus_raw,nu trim5 minus nu raw DeltaALT,"[{""state"":""ORT16:nu:trim5"",""coefficient"":1.0},{""state"":""ORT16:nu:raw"",""coefficient"":-1.0}]",percentage_points,22,-0.406125582348,-0.406145223503,-0.40571311808,0.0324546926735,2.07961384473,-0.47320634629,-0.33821988987,yes
loco,ORT16,nu_trim10_minus_raw,nu trim10 minus nu raw DeltaALT,"[{""state"":""ORT16:nu:trim10"",""coefficient"":1.0},{""state"":""ORT16:nu:raw"",""coefficient"":-1.0}]",percentage_points,22,-0.501592186453,-0.501583928657,-0.501765600163,0.053886412691,2.07961384473,-0.613828530038,-0.389702670288,yes
loco,ORT16,nu_rescale5_minus_raw,nu rescale5 minus nu raw DeltaALT,"[{""state"":""ORT16:nu:rescale5"",""coefficient"":1.0},{""state"":""ORT16:nu:raw"",""coefficient"":-1.0}]",percentage_points,22,-1.06805002615,-1.06802685367,-1.06853664829,0.0226954857579,2.07961384473,-1.11573449469,-1.0213388019,yes
loco,ORT16,nu_rescale10_minus_raw,nu rescale10 minus nu raw DeltaALT,"[{""state"":""ORT16:nu:rescale10"",""coefficient"":1.0},{""state"":""ORT16:nu:raw"",""coefficient"":-1.0}]",percentage_points,22,-1.76190600501,-1.7618683667,-1.76269640955,0.0327649245264,2.07961384473,-1.83083480021,-1.69455801888,yes
