scheme,individual,comparison_id,library,treatment,damage_alt_fraction_sum,damage_n_common_dp3,transversion_alt_fraction_sum,transversion_n_common_dp3,common_target_sites,damage_alt_pct,transversion_alt_pct,estimate_unit,n_blocks,full_estimate_pp,mean_delete_one_pp,jackknife_bias_corrected_pp,jackknife_se_pp,t_critical_975,ci95_lo_pp,ci95_hi_pp,ci_excludes_zero
10mb,ORT16,nu_bamrefine5_minus_rescale5,nu,bamrefine5,8832.27040816,291091,7461.70948276,237808,528899,3.03419563235,3.13770330803,percentage_points,289,-0.10350767568,-0.103507299511,-0.103616012144,0.0421866415597,1.96823517361,-0.186649243919,-0.0205827803699,yes
10mb,ORT16,nu_bamrefine5_minus_rescale5,nu,rescale5,8794.12755102,291091,7453.59162562,237808,528899,3.02109221894,3.13428968984,percentage_points,289,-0.113197470905,-0.113197095396,-0.113305617722,0.0421642618354,1.96823517361,-0.196294800935,-0.0303164345078,yes
loco,ORT16,rescale5_shift_nu_minus_fu,nu,raw,1831.50136054,76166,1977.81067323,61761,137927,2.40461801925,3.20236180314,percentage_points,22,-0.797743783883,-0.79773547959,-0.797918174028,0.0898310392549,2.07961384473,-0.984732046949,-0.611104301108,yes
loco,ORT16,rescale5_shift_nu_minus_fu,nu,rescale5,1752.11802721,76166,1955.15114943,61761,137927,2.30039391226,3.16567275372,percentage_points,22,-0.865278841462,-0.865278932876,-0.865276921761,0.090273373592,2.07961384473,-1.05301067929,-0.677543164229,yes
loco,ORT16,rescale5_shift_nu_minus_fu,fu,raw,1501.6849775,76166,1806.54208328,61761,137927,1.97159490784,2.92505316184,percentage_points,22,-0.953458254005,-0.953441732805,-0.953805199203,0.071476909982,2.07961384473,-1.10244957078,-0.805160827626,yes
loco,ORT16,rescale5_shift_nu_minus_fu,fu,rescale5,1350.8191578,76166,1796.46589281,61761,137927,1.77351988788,2.90873835075,percentage_points,22,-1.13521846288,-1.13521247488,-1.13534421084,0.0677154349736,2.07961384473,-1.27616616691,-0.994522254765,yes
5mb,ORT16,rescale5_shift_nu_minus_fu,nu,raw,1831.50136054,76166,1977.81067323,61761,137927,2.40461801925,3.20236180314,percentage_points,577,-0.797743783883,-0.797743563024,-0.797870998385,0.0768177577618,1.96409103161,-0.948748067474,-0.646993929297,yes
5mb,ORT16,rescale5_shift_nu_minus_fu,nu,rescale5,1752.11802721,76166,1955.15114943,61761,137927,2.30039391226,3.16567275372,percentage_points,577,-0.865278841462,-0.865278620005,-0.865406400412,0.0767812243248,1.96409103161,-1.0162117145,-0.714601086319,yes
5mb,ORT16,rescale5_shift_nu_minus_fu,fu,raw,1501.6849775,76166,1806.54208328,61761,137927,1.97159490784,2.92505316184,percentage_points,577,-0.953458254005,-0.953458125193,-0.953532449326,0.0755262390334,1.96409103161,-1.10187285806,-0.805192040589,yes
5mb,ORT16,rescale5_shift_nu_minus_fu,fu,rescale5,1350.8191578,76166,1796.46589281,61761,137927,1.77351988788,2.90873835075,percentage_points,577,-1.13521846288,-1.13521830999,-1.13530652461,0.0751490707117,1.96409103161,-1.28290614043,-0.987706908793,yes
