scheme,individual,library,treatment,damage_alt_fraction_sum,damage_n_dp3,transversion_alt_fraction_sum,transversion_n_dp3,covered_sites,damage_alt_pct,transversion_alt_pct,estimate_unit,n_blocks,full_estimate_pp,mean_delete_one_pp,jackknife_bias_corrected_pp,jackknife_se_pp,t_critical_975,ci95_lo_pp,ci95_hi_pp,ci_excludes_zero
loco,ORT15,fu,raw,85083.5851965,2408911,56360.6564451,1841765,28845214,3.53203523071,3.060143745,percentage_points,22,0.47189148571,0.471830027732,0.47318210325,0.0308087951234,2.07961384473,0.409111706373,0.537252500128,yes
loco,ORT15,fu,trim5,49558.664472,1693137,38550.0468004,1279707,24340058,2.92703215818,3.01241196621,percentage_points,22,-0.0853798080345,-0.0854751800989,-0.0833769946811,0.0372575504613,2.07961384473,-0.160858312441,-0.0058956769212,yes
loco,ORT15,fu,rescale5,52806.103284,2365160,54974.5609365,1839486,28742289,2.2326651594,2.98858273107,percentage_points,22,-0.755917571676,-0.755983565413,-0.754531703186,0.0314036707258,2.07961384473,-0.819839211603,-0.68922419477,yes
loco,ORT15,fu,rescale12,28813.7879149,2334856,54456.5485267,1838640,28655823,1.23407130525,2.96178417345,percentage_points,22,-1.7277128682,-1.72776140086,-1.72669368238,0.0303659895605,2.07961384473,-1.78984321468,-1.66354415008,yes
loco,ORT15,fu,bamrefine5,59979.6325628,2039780,46135.7521464,1537644,26617815,2.94049517903,3.00041831181,percentage_points,22,-0.0599231327803,-0.0600080869522,-0.0581390951706,0.0337126945857,2.07961384473,-0.128248481574,0.0119702912329,no
loco,ORT16,fu,raw,189307.200214,5624091,131965.73868,4357027,45566134,3.36600528359,3.02880240769,percentage_points,22,0.337202875898,0.337146390108,0.338389077479,0.0244512743937,2.07961384473,0.287539868729,0.389238286229,yes
loco,ORT16,fu,trim5,117321.572521,4128255,94069.4672176,3160607,40115936,2.84191680312,2.9763101587,percentage_points,22,-0.134393355579,-0.134447695927,-0.133252208261,0.0247889676842,2.07961384473,-0.184803688653,-0.0817007278682,yes
loco,ORT16,fu,rescale5,123154.680693,5539966,129179.038008,4352939,45451585,2.22302231987,2.96762803265,percentage_points,22,-0.744605712773,-0.744656950487,-0.743529720759,0.0232175674593,2.07961384473,-0.791813295489,-0.69524614603,yes
loco,ORT16,fu,rescale12,72182.9639028,5479447,128358.075396,4351698,45348234,1.31734030647,2.94960898931,percentage_points,22,-1.63226868284,-1.63230282051,-1.63155179182,0.0264919093966,2.07961384473,-1.68664473337,-1.57645885027,yes
loco,ORT16,fu,bamrefine5,138665.397724,4843994,110507.100885,3712452,42880311,2.86262529897,2.97666073217,percentage_points,22,-0.114035433206,-0.11409253682,-0.112836257314,0.0245666587472,2.07961384473,-0.163925420963,-0.0617470936643,yes
