scheme,individual,comparison_id,description,common_callable_definition,terms_json,estimate_unit,n_blocks,full_estimate_pp,mean_delete_one_pp,jackknife_bias_corrected_pp,jackknife_se_pp,t_critical_975,ci95_lo_pp,ci95_hi_pp,ci_excludes_zero
5mb,ORT15,rescale12_shift_nu_minus_fu,"Difference in rescale12 shift: non-UDG minus full-UDG, on four-way common callable sites",exact CHR/POS/REF/ALT intersection and AD_REF+AD_ALT>=3 in every term,"[{""state"":""ORT15:nu:rescale12"",""coefficient"":1.0},{""state"":""ORT15:nu:raw"",""coefficient"":-1.0},{""state"":""ORT15:fu:rescale12"",""coefficient"":-1.0},{""state"":""ORT15:fu:raw"",""coefficient"":1.0}]",percentage_points,577,0.0843687446055,0.0843687396306,0.084371610164,0.0255514058133,1.96409103161,0.034186323161,0.134556897167,yes
10mb,ORT15,rescale12_shift_nu_minus_fu,"Difference in rescale12 shift: non-UDG minus full-UDG, on four-way common callable sites",exact CHR/POS/REF/ALT intersection and AD_REF+AD_ALT>=3 in every term,"[{""state"":""ORT15:nu:rescale12"",""coefficient"":1.0},{""state"":""ORT15:nu:raw"",""coefficient"":-1.0},{""state"":""ORT15:fu:rescale12"",""coefficient"":-1.0},{""state"":""ORT15:fu:raw"",""coefficient"":1.0}]",percentage_points,289,0.0843687446055,0.0843686465524,0.0843969838861,0.0255174387254,1.96823517361,0.0341726634463,0.134621304326,yes
loco,ORT16,raw_nu_minus_raw_fu,Raw non-UDG minus raw full-UDG DeltaALT on their common callable sites,exact CHR/POS/REF/ALT intersection and AD_REF+AD_ALT>=3 in every term,"[{""state"":""ORT16:nu:raw"",""coefficient"":1.0},{""state"":""ORT16:fu:raw"",""coefficient"":-1.0}]",percentage_points,22,0.22247695401,0.222474691223,0.222524472532,0.0604253066739,2.07961384473,0.0968631682008,0.348185776863,yes
5mb,ORT16,raw_nu_minus_raw_fu,Raw non-UDG minus raw full-UDG DeltaALT on their common callable sites,exact CHR/POS/REF/ALT intersection and AD_REF+AD_ALT>=3 in every term,"[{""state"":""ORT16:nu:raw"",""coefficient"":1.0},{""state"":""ORT16:fu:raw"",""coefficient"":-1.0}]",percentage_points,577,0.22247695401,0.22247701748,0.222440395584,0.0591380796845,1.96409103161,0.106287823649,0.338592967519,yes
10mb,ORT16,raw_nu_minus_raw_fu,Raw non-UDG minus raw full-UDG DeltaALT on their common callable sites,exact CHR/POS/REF/ALT intersection and AD_REF+AD_ALT>=3 in every term,"[{""state"":""ORT16:nu:raw"",""coefficient"":1.0},{""state"":""ORT16:fu:raw"",""coefficient"":-1.0}]",percentage_points,289,0.22247695401,0.222477283438,0.222382078755,0.0605091333317,1.96823517361,0.103285874207,0.341478283304,yes
loco,ORT16,nu_bamrefine5_minus_rescale5,Non-UDG bamRefine-5 minus Rescale-5 DeltaALT on common callable sites,exact CHR/POS/REF/ALT intersection and AD_REF+AD_ALT>=3 in every term,"[{""state"":""ORT16:nu:bamrefine5"",""coefficient"":1.0},{""state"":""ORT16:nu:rescale5"",""coefficient"":-1.0}]",percentage_points,22,0.00968979522567,0.00968972676917,0.00969123281222,0.0013612451759,2.07961384473,0.00686036849834,0.0125220971261,yes
5mb,ORT16,nu_bamrefine5_minus_rescale5,Non-UDG bamRefine-5 minus Rescale-5 DeltaALT on common callable sites,exact CHR/POS/REF/ALT intersection and AD_REF+AD_ALT>=3 in every term,"[{""state"":""ORT16:nu:bamrefine5"",""coefficient"":1.0},{""state"":""ORT16:nu:rescale5"",""coefficient"":-1.0}]",percentage_points,577,0.00968979522567,0.00968979452201,0.00969020053663,0.00132081815227,1.96409103161,0.00709599344936,0.0122844076239,yes
10mb,ORT16,nu_bamrefine5_minus_rescale5,Non-UDG bamRefine-5 minus Rescale-5 DeltaALT on common callable sites,exact CHR/POS/REF/ALT intersection and AD_REF+AD_ALT>=3 in every term,"[{""state"":""ORT16:nu:bamrefine5"",""coefficient"":1.0},{""state"":""ORT16:nu:rescale5"",""coefficient"":-1.0}]",percentage_points,289,0.00968979522567,0.00968979588417,0.00968960557736,0.00132856486526,1.96823517361,0.00707467747913,0.0123045336756,yes
loco,ORT16,rescale5_shift_nu_minus_fu,"Difference in rescale5 shift: non-UDG minus full-UDG, on four-way common callable sites",exact CHR/POS/REF/ALT intersection and AD_REF+AD_ALT>=3 in every term,"[{""state"":""ORT16:nu:rescale5"",""coefficient"":1.0},{""state"":""ORT16:nu:raw"",""coefficient"":-1.0},{""state"":""ORT16:fu:rescale5"",""coefficient"":-1.0},{""state"":""ORT16:fu:raw"",""coefficient"":1.0}]",percentage_points,22,0.114225151295,0.114227288789,0.114180263903,0.0111450434618,2.07961384473,0.0910028772196,0.137357650586,yes
5mb,ORT16,rescale5_shift_nu_minus_fu,"Difference in rescale5 shift: non-UDG minus full-UDG, on four-way common callable sites",exact CHR/POS/REF/ALT intersection and AD_REF+AD_ALT>=3 in every term,"[{""state"":""ORT16:nu:rescale5"",""coefficient"":1.0},{""state"":""ORT16:nu:raw"",""coefficient"":-1.0},{""state"":""ORT16:fu:rescale5"",""coefficient"":-1.0},{""state"":""ORT16:fu:raw"",""coefficient"":1.0}]",percentage_points,577,0.114225151295,0.114225127819,0.114238673259,0.011118882832,1.96409103161,0.0924001752067,0.13607717131,yes
10mb,ORT16,rescale5_shift_nu_minus_fu,"Difference in rescale5 shift: non-UDG minus full-UDG, on four-way common callable sites",exact CHR/POS/REF/ALT intersection and AD_REF+AD_ALT>=3 in every term,"[{""state"":""ORT16:nu:rescale5"",""coefficient"":1.0},{""state"":""ORT16:nu:raw"",""coefficient"":-1.0},{""state"":""ORT16:fu:rescale5"",""coefficient"":-1.0},{""state"":""ORT16:fu:raw"",""coefficient"":1.0}]",percentage_points,289,0.114225151295,0.114225098911,0.114240237871,0.0111556952458,1.96823517361,0.0922832061019,0.13619726964,yes
loco,ORT16,rescale12_shift_nu_minus_fu,"Difference in rescale12 shift: non-UDG minus full-UDG, on four-way common callable sites",exact CHR/POS/REF/ALT intersection and AD_REF+AD_ALT>=3 in every term,"[{""state"":""ORT16:nu:rescale12"",""coefficient"":1.0},{""state"":""ORT16:nu:raw"",""coefficient"":-1.0},{""state"":""ORT16:fu:rescale12"",""coefficient"":-1.0},{""state"":""ORT16:fu:raw"",""coefficient"":1.0}]",percentage_points,22,0.152125533327,0.152136721265,0.151890586625,0.0120791395832,2.07961384473,0.126770640716,0.177010532535,yes
5mb,ORT16,rescale12_shift_nu_minus_fu,"Difference in rescale12 shift: non-UDG minus full-UDG, on four-way common callable sites",exact CHR/POS/REF/ALT intersection and AD_REF+AD_ALT>=3 in every term,"[{""state"":""ORT16:nu:rescale12"",""coefficient"":1.0},{""state"":""ORT16:nu:raw"",""coefficient"":-1.0},{""state"":""ORT16:fu:rescale12"",""coefficient"":-1.0},{""state"":""ORT16:fu:raw"",""coefficient"":1.0}]",percentage_points,577,0.152125533327,0.152125496992,0.152146461926,0.0138067843297,1.96409103161,0.125028680648,0.179264243203,yes
10mb,ORT16,rescale12_shift_nu_minus_fu,"Difference in rescale12 shift: non-UDG minus full-UDG, on four-way common callable sites",exact CHR/POS/REF/ALT intersection and AD_REF+AD_ALT>=3 in every term,"[{""state"":""ORT16:nu:rescale12"",""coefficient"":1.0},{""state"":""ORT16:nu:raw"",""coefficient"":-1.0},{""state"":""ORT16:fu:rescale12"",""coefficient"":-1.0},{""state"":""ORT16:fu:raw"",""coefficient"":1.0}]",percentage_points,289,0.152125533327,0.152125437977,0.152152994083,0.0140694157098,1.96823517361,0.124461075211,0.179844912956,yes
