analysis	PairIndividuals	Rel	Zup	Zdown	P0_mean	Nonnormalized_P0	Nonnormalized_P0_serr	First_Degree_Subtype	Perc_Win_1stdeg_P0	OverlapNSNPs	NSNPsXNorm	KinshipCoefficient	Reported_CI_field
primary_chr1_22_X_Y	ORT15,ORT16	First Degree	7.807040348710183	25.86980534115286	0.7690333381022743	0.18973589010001654	0.0013736439793132285	Parent-offspring	0.13414634146341464	169172	41738.11252345378	0.23096666189772574	0.7581207958949553,0.7799458803095932
autosome_1240k	ORT15,ORT16	First Degree	6.429267118527891	20.910925462498536	0.7684078605188551	0.19097369975420925	0.0017044390106605478	Parent-offspring	0.05555555555555555	157451	39131.56221449425	0.23159213948114488	0.7549661117487664,0.7818496092889439
transversion_only	ORT15,ORT16	First Degree	3.4925371430322985	11.90901526874167	0.7699815124598774	0.19167202572347267	0.0030305064245774865	N/A	0.3006993006993007	31100	7741.744319232104	0.23001848754012255	0.7461202814505242,0.7938427434692307
