sample	read_set_state	input_scope	sha256
ORT15	full_udg_collapsed_only	combined_libraries_a_b_c	674f891b87a43fe4de33e0ed189ba11eada8c935904593f3ab563eb422a64d65
ORT16	full_udg_collapsed_only	combined_libraries_a_b_c	c614879709587d95fdb2e4b44b34ffef4be89be7f3307a0f93d305d1570970ba
