analysis	PairIndividuals	Rel	P0_mean	Nonnormalized_P0	Nonnormalized_P0_serr	First_degree_subtype	OverlapNSNPs	KinshipCoefficient	P0_mean_95percCI_min	P0_mean_95percCI_max
primary_chr1_22_X_Y	ORT15,ORT16	First Degree	0.7690333381022743	0.18973589010001654	0.0013736439793132285	Parent-offspring	169172	0.23096666189772574	0.7581207958949553	0.7799458803095932
autosome_only_sensitivity	ORT15,ORT16	First Degree	0.7684078605188551	0.19097369975420925	0.0017044390106605478	Parent-offspring	157451	0.23159213948114488	0.7549661117487664	0.7818496092889439
