sample	input_read_set	caller	calling_filters	haplogrep_version	tree	haplogroup	quality_score	interpretation
ORT15	full-UDG collapsed-only .1	bcftools 1.16 haploid	MAPQ>=30;BQ>=30;BAQ_disabled;no_global_DP_filter	3.3.2	phylotree-fu-rcrs@1.3	D4o1	0.8911	software-reported assignment
ORT16	full-UDG collapsed-only .1	bcftools 1.16 haploid	MAPQ>=30;BQ>=30;BAQ_disabled;no_global_DP_filter	3.3.2	phylotree-fu-rcrs@1.3	D4o1	0.9107	software-reported assignment
