iid	pc1	pc2
ORT16_fu_bamrefine5__c0.06__r06	-0.0207	0.0239
ORT16_fu_bamrefine5__c0.06__r07	-0.0201	0.0237
ORT16_fu_bamrefine5__c0.06__r08	-0.0197	0.0232
ORT16_fu_bamrefine5__c0.06__r09	-0.0192	0.0234
ORT16_fu_bamrefine5__c0.06__r10	-0.0191	0.0237
ORT16_fu_bamrefine5__c0.08__r01	-0.0192	0.0251
ORT16_fu_bamrefine5__c0.08__r02	-0.0202	0.0237
ORT16_fu_bamrefine5__c0.08__r03	-0.0198	0.0229
ORT16_fu_bamrefine5__c0.08__r04	-0.0198	0.0236
ORT16_fu_bamrefine5__c0.08__r05	-0.0205	0.0242
ORT16_fu_bamrefine5__c0.08__r06	-0.0202	0.0237
ORT16_fu_bamrefine5__c0.08__r07	-0.0202	0.0235
ORT16_fu_bamrefine5__c0.08__r08	-0.0198	0.023
ORT16_fu_bamrefine5__c0.08__r09	-0.0196	0.024
ORT16_fu_bamrefine5__c0.08__r10	-0.0191	0.0236
ORT16_fu_bamrefine5__c0.1__r01	-0.0193	0.0246
ORT16_fu_bamrefine5__c0.1__r02	-0.0201	0.0238
ORT16_fu_bamrefine5__c0.1__r03	-0.0199	0.0227
ORT16_fu_bamrefine5__c0.1__r04	-0.0196	0.0238
ORT16_fu_bamrefine5__c0.1__r05	-0.0204	0.024
ORT16_fu_bamrefine5__c0.1__r06	-0.02	0.0235
ORT16_fu_bamrefine5__c0.1__r07	-0.0197	0.0239
ORT16_fu_bamrefine5__c0.1__r08	-0.0197	0.0234
ORT16_fu_bamrefine5__c0.1__r09	-0.0198	0.0243
ORT16_fu_bamrefine5__c0.1__r10	-0.0194	0.0241
ORT16_fu_bamrefine5__c0.2__r01	-0.0194	0.024
ORT16_fu_bamrefine5__c0.2__r02	-0.0199	0.0236
ORT16_fu_bamrefine5__c0.2__r03	-0.0198	0.0229
ORT16_fu_bamrefine5__c0.2__r04	-0.0197	0.0238
ORT16_fu_bamrefine5__c0.2__r05	-0.0203	0.0243
ORT16_fu_bamrefine5__c0.2__r06	-0.0202	0.0233
ORT16_fu_bamrefine5__c0.2__r07	-0.0198	0.0239
ORT16_fu_bamrefine5__c0.2__r08	-0.02	0.0234
ORT16_fu_bamrefine5__c0.2__r09	-0.0195	0.0238
ORT16_fu_bamrefine5__c0.2__r10	-0.0195	0.0241
ORT16_fu_bamrefine5__cfull__r01	-0.02	0.0237
ORT16_fu_raw__c0.01__r01	-0.019	0.026
ORT16_fu_raw__c0.01__r02	-0.0178	0.0209
ORT16_fu_raw__c0.01__r03	-0.0185	0.0233
ORT16_fu_raw__c0.01__r04	-0.0192	0.0225
ORT16_fu_raw__c0.01__r05	-0.0193	0.0274
ORT16_fu_raw__c0.01__r06	-0.0177	0.023
ORT16_fu_raw__c0.01__r07	-0.0188	0.0262
ORT16_fu_raw__c0.01__r08	-0.0174	0.025
ORT16_fu_raw__c0.01__r09	-0.0187	0.0225
ORT16_fu_raw__c0.01__r10	-0.0179	0.0214
ORT16_fu_raw__c0.02__r01	-0.0176	0.0247
ORT16_fu_raw__c0.02__r02	-0.0191	0.0231
ORT16_fu_raw__c0.02__r03	-0.0186	0.0244
ORT16_fu_raw__c0.02__r04	-0.0189	0.0234
ORT16_fu_raw__c0.02__r05	-0.0194	0.025
ORT16_fu_raw__c0.02__r06	-0.0185	0.0236
ORT16_fu_raw__c0.02__r07	-0.0194	0.0249
ORT16_fu_raw__c0.02__r08	-0.0181	0.0252
ORT16_fu_raw__c0.02__r09	-0.0188	0.0248
ORT16_fu_raw__c0.02__r10	-0.0171	0.021
ORT16_fu_raw__c0.04__r01	-0.0188	0.0248
ORT16_fu_raw__c0.04__r02	-0.0189	0.0224
ORT16_fu_raw__c0.04__r03	-0.0187	0.0231
ORT16_fu_raw__c0.04__r04	-0.0192	0.0243
ORT16_fu_raw__c0.04__r05	-0.0195	0.0237
ORT16_fu_raw__c0.04__r06	-0.0193	0.0235
ORT16_fu_raw__c0.04__r07	-0.0195	0.0234
ORT16_fu_raw__c0.04__r08	-0.0185	0.0237
ORT16_fu_raw__c0.04__r09	-0.0187	0.024
ORT16_fu_raw__c0.04__r10	-0.0184	0.023
ORT16_fu_raw__c0.06__r01	-0.0186	0.0252
ORT16_fu_raw__c0.06__r02	-0.0185	0.0235
ORT16_fu_raw__c0.06__r03	-0.0192	0.0227
ORT16_fu_raw__c0.06__r04	-0.0189	0.0243
ORT16_fu_raw__c0.06__r05	-0.02	0.0246
ORT16_fu_raw__c0.06__r06	-0.0199	0.0243
ORT16_fu_raw__c0.06__r07	-0.0192	0.024
ORT16_fu_raw__c0.06__r08	-0.0191	0.0235
ORT16_fu_raw__c0.06__r09	-0.0187	0.0243
ORT16_fu_raw__c0.06__r10	-0.0187	0.0236
ORT16_fu_raw__c0.08__r01	-0.0188	0.0253
ORT16_fu_raw__c0.08__r02	-0.0192	0.0239
ORT16_fu_raw__c0.08__r03	-0.0193	0.0231
ORT16_fu_raw__c0.08__r04	-0.0191	0.0238
ORT16_fu_raw__c0.08__r05	-0.0198	0.025
ORT16_fu_raw__c0.08__r06	-0.0195	0.0242
ORT16_fu_raw__c0.08__r07	-0.0194	0.0237
ORT16_fu_raw__c0.08__r08	-0.0192	0.0233
ORT16_fu_raw__c0.08__r09	-0.0193	0.0245
ORT16_fu_raw__c0.08__r10	-0.0187	0.0239
ORT16_fu_raw__c0.1__r01	-0.0187	0.0248
ORT16_fu_raw__c0.1__r02	-0.0191	0.0241
ORT16_fu_raw__c0.1__r03	-0.0192	0.023
ORT16_fu_raw__c0.1__r04	-0.0189	0.024
ORT16_fu_raw__c0.1__r05	-0.0197	0.0245
ORT16_fu_raw__c0.1__r06	-0.0192	0.0241
ORT16_fu_raw__c0.1__r07	-0.0189	0.0238
ORT16_fu_raw__c0.1__r08	-0.0189	0.0237
ORT16_fu_raw__c0.1__r09	-0.0192	0.0248
ORT16_fu_raw__c0.1__r10	-0.0189	0.0241
ORT16_fu_raw__c0.2__r01	-0.0187	0.0243
ORT16_fu_raw__c0.2__r02	-0.019	0.0238
ORT16_fu_raw__c0.2__r03	-0.019	0.0233
ORT16_fu_raw__c0.2__r04	-0.019	0.024
ORT16_fu_raw__c0.2__r05	-0.0195	0.0247
ORT16_fu_raw__c0.2__r06	-0.0194	0.0236
ORT16_fu_raw__c0.2__r07	-0.0192	0.0241
ORT16_fu_raw__c0.2__r08	-0.0192	0.0236
ORT16_fu_raw__c0.2__r09	-0.0187	0.0241
ORT16_fu_raw__c0.2__r10	-0.0191	0.0243
ORT16_fu_raw__cfull__r01	-0.0191	0.0237
ORT16_fu_rescale5__c0.01__r01	-0.0193	0.0246
ORT16_fu_rescale5__c0.01__r02	-0.0175	0.021
ORT16_fu_rescale5__c0.01__r03	-0.0186	0.0226
ORT16_fu_rescale5__c0.01__r04	-0.0194	0.0215
ORT16_fu_rescale5__c0.01__r05	-0.0193	0.0256
ORT16_fu_rescale5__c0.01__r06	-0.0176	0.0218
ORT16_fu_rescale5__c0.01__r07	-0.019	0.0258
ORT16_fu_rescale5__c0.01__r08	-0.0174	0.0248
ORT16_fu_rescale5__c0.01__r09	-0.019	0.0217
ORT16_fu_rescale5__c0.01__r10	-0.0176	0.0204
ORT16_fu_rescale5__c0.02__r01	-0.0179	0.0236
ORT16_fu_rescale5__c0.02__r02	-0.0194	0.0224
ORT16_fu_rescale5__c0.02__r03	-0.019	0.023
ORT16_fu_rescale5__c0.02__r04	-0.0191	0.0231
ORT16_fu_rescale5__c0.02__r05	-0.0195	0.0238
ORT16_fu_rescale5__c0.02__r06	-0.0186	0.0224
ORT16_fu_rescale5__c0.02__r07	-0.0197	0.0237
ORT16_fu_rescale5__c0.02__r08	-0.0181	0.0243
ORT16_fu_rescale5__c0.02__r09	-0.0187	0.0235
ORT16_fu_rescale5__c0.02__r10	-0.0171	0.0202
ORT16_fu_rescale5__c0.04__r01	-0.0188	0.0234
ORT16_fu_rescale5__c0.04__r02	-0.0192	0.0217
ORT16_fu_rescale5__c0.04__r03	-0.019	0.0219
ORT16_fu_rescale5__c0.04__r04	-0.0194	0.0235
ORT16_fu_rescale5__c0.04__r05	-0.0195	0.0225
ORT16_fu_rescale5__c0.04__r06	-0.0194	0.0225
ORT16_fu_rescale5__c0.04__r07	-0.0197	0.0227
ORT16_fu_rescale5__c0.04__r08	-0.0185	0.0228
ORT16_fu_rescale5__c0.04__r09	-0.0187	0.0227
ORT16_fu_rescale5__c0.04__r10	-0.0184	0.0225
ORT16_fu_rescale5__c0.06__r01	-0.0186	0.0238
ORT16_fu_rescale5__c0.06__r02	-0.0188	0.0227
ORT16_fu_rescale5__c0.06__r03	-0.0191	0.0217
ORT16_fu_rescale5__c0.06__r04	-0.0194	0.0236
ORT16_fu_rescale5__c0.06__r05	-0.02	0.0235
ORT16_fu_rescale5__c0.06__r06	-0.0203	0.0231
ORT16_fu_rescale5__c0.06__r07	-0.0195	0.0228
ORT16_fu_rescale5__c0.06__r08	-0.019	0.0224
ORT16_fu_rescale5__c0.06__r09	-0.0188	0.023
ORT16_fu_rescale5__c0.06__r10	-0.0188	0.0227
ORT16_fu_rescale5__c0.08__r01	-0.0189	0.0241
ORT16_fu_rescale5__c0.08__r02	-0.0194	0.0229
ORT16_fu_rescale5__c0.08__r03	-0.0193	0.022
ORT16_fu_rescale5__c0.08__r04	-0.0192	0.023
ORT16_fu_rescale5__c0.08__r05	-0.0199	0.0237
ORT16_fu_rescale5__c0.08__r06	-0.0197	0.023
ORT16_fu_rescale5__c0.08__r07	-0.0196	0.0225
ORT16_fu_rescale5__c0.08__r08	-0.0193	0.0224
ORT16_fu_rescale5__c0.08__r09	-0.0194	0.0235
ORT16_fu_rescale5__c0.08__r10	-0.0188	0.0229
ORT16_fu_rescale5__c0.1__r01	-0.0188	0.0239
ORT16_fu_rescale5__c0.1__r02	-0.0194	0.023
ORT16_fu_rescale5__c0.1__r03	-0.0193	0.0216
ORT16_fu_rescale5__c0.1__r04	-0.0193	0.0231
ORT16_fu_rescale5__c0.1__r05	-0.0197	0.0233
ORT16_fu_rescale5__c0.1__r06	-0.0195	0.0226
ORT16_fu_rescale5__c0.1__r07	-0.0192	0.0225
ORT16_fu_rescale5__c0.1__r08	-0.0193	0.0227
ORT16_fu_rescale5__c0.1__r09	-0.0195	0.0235
ORT16_fu_rescale5__c0.1__r10	-0.0191	0.0231
ORT16_fu_rescale5__c0.2__r01	-0.0188	0.0231
ORT16_fu_rescale5__c0.2__r02	-0.0194	0.0229
ORT16_fu_rescale5__c0.2__r03	-0.0193	0.0222
ORT16_fu_rescale5__c0.2__r04	-0.0193	0.023
ORT16_fu_rescale5__c0.2__r05	-0.0197	0.0235
ORT16_fu_rescale5__c0.2__r06	-0.0198	0.0225
ORT16_fu_rescale5__c0.2__r07	-0.0195	0.0229
ORT16_fu_rescale5__c0.2__r08	-0.0194	0.0226
ORT16_fu_rescale5__c0.2__r09	-0.0193	0.0231
ORT16_fu_rescale5__c0.2__r10	-0.0192	0.0232
ORT16_fu_rescale5__cfull__r01	-0.0195	0.023
ORT16_fu_trim5__c0.01__r01	-0.0188	0.0246
ORT16_fu_trim5__c0.01__r02	-0.0197	0.021
ORT16_fu_trim5__c0.01__r03	-0.0199	0.0252
ORT16_fu_trim5__c0.01__r04	-0.0197	0.0225
ORT16_fu_trim5__c0.01__r05	-0.0196	0.0258
ORT16_fu_trim5__c0.01__r06	-0.0182	0.0242
ORT16_fu_trim5__c0.01__r07	-0.0205	0.0259
ORT16_fu_trim5__c0.01__r08	-0.0184	0.0248
ORT16_fu_trim5__c0.01__r09	-0.0193	0.0232
ORT16_fu_trim5__c0.01__r10	-0.0175	0.0189
ORT16_fu_trim5__c0.02__r01	-0.0192	0.0247
ORT16_fu_trim5__c0.02__r02	-0.0195	0.0235
ORT16_fu_trim5__c0.02__r03	-0.0196	0.0241
ORT16_fu_trim5__c0.02__r04	-0.0208	0.0238
ORT16_fu_trim5__c0.02__r05	-0.0194	0.0237
ORT16_fu_trim5__c0.02__r06	-0.0193	0.0235
ORT16_fu_trim5__c0.02__r07	-0.0206	0.0248
ORT16_fu_trim5__c0.02__r08	-0.0186	0.0249
ORT16_fu_trim5__c0.02__r09	-0.0185	0.024
ORT16_fu_trim5__c0.02__r10	-0.0182	0.0215
ORT16_fu_trim5__c0.04__r01	-0.0193	0.0251
ORT16_fu_trim5__c0.04__r02	-0.0197	0.0222
ORT16_fu_trim5__c0.04__r03	-0.0195	0.0221
ORT16_fu_trim5__c0.04__r04	-0.0205	0.0238
ORT16_fu_trim5__c0.04__r05	-0.0207	0.0242
ORT16_fu_trim5__c0.04__r06	-0.02	0.0239
ORT16_fu_trim5__c0.04__r07	-0.0204	0.0243
ORT16_fu_trim5__c0.04__r08	-0.019	0.0237
ORT16_fu_trim5__c0.04__r09	-0.0189	0.0236
ORT16_fu_trim5__c0.04__r10	-0.0185	0.0224
ORT16_fu_trim5__c0.06__r01	-0.0194	0.0252
ORT16_fu_trim5__c0.06__r02	-0.0201	0.0232
ORT16_fu_trim5__c0.06__r03	-0.0197	0.0225
ORT16_fu_trim5__c0.06__r04	-0.0199	0.0233
ORT16_fu_trim5__c0.06__r05	-0.0205	0.024
ORT16_fu_trim5__c0.06__r06	-0.0205	0.0243
ORT16_fu_trim5__c0.06__r07	-0.0206	0.0237
ORT16_fu_trim5__c0.06__r08	-0.0194	0.0228
ORT16_fu_trim5__c0.06__r09	-0.0195	0.0241
ORT16_fu_trim5__c0.06__r10	-0.0188	0.0233
ORT16_fu_trim5__c0.08__r01	-0.0194	0.0245
ORT16_fu_trim5__c0.08__r02	-0.02	0.0238
ORT16_fu_trim5__c0.08__r03	-0.0198	0.0231
ORT16_fu_trim5__c0.08__r04	-0.0197	0.0235
ORT16_fu_trim5__c0.08__r05	-0.0202	0.0238
ORT16_fu_trim5__c0.08__r06	-0.0199	0.0237
ORT16_fu_trim5__c0.08__r07	-0.0199	0.0239
ORT16_fu_trim5__c0.08__r08	-0.0195	0.0232
ORT16_fu_trim5__c0.08__r09	-0.02	0.0245
ORT16_fu_trim5__c0.08__r10	-0.0194	0.0237
ORT16_fu_trim5__c0.1__r01	-0.0194	0.0239
ORT16_fu_trim5__c0.1__r02	-0.0199	0.0235
ORT16_fu_trim5__c0.1__r03	-0.0201	0.0228
ORT16_fu_trim5__c0.1__r04	-0.0195	0.0234
ORT16_fu_trim5__c0.1__r05	-0.0202	0.0238
ORT16_fu_trim5__c0.1__r06	-0.0198	0.0233
ORT16_fu_trim5__c0.1__r07	-0.0201	0.0243
ORT16_fu_trim5__c0.1__r08	-0.0197	0.0234
ORT16_fu_trim5__c0.1__r09	-0.0199	0.0247
ORT16_fu_trim5__c0.1__r10	-0.0191	0.0239
ORT16_fu_trim5__c0.2__r01	-0.0193	0.0238
ORT16_fu_trim5__c0.2__r02	-0.0196	0.0237
ORT16_fu_trim5__c0.2__r03	-0.0195	0.0227
ORT16_fu_trim5__c0.2__r04	-0.0199	0.0231
ORT16_fu_trim5__c0.2__r05	-0.0202	0.0241
ORT16_fu_trim5__c0.2__r06	-0.0199	0.0239
ORT16_fu_trim5__c0.2__r07	-0.02	0.024
ORT16_fu_trim5__c0.2__r08	-0.0199	0.0236
ORT16_fu_trim5__c0.2__r09	-0.0197	0.0241
ORT16_fu_trim5__c0.2__r10	-0.0194	0.0241
ORT16_fu_trim5__cfull__r01	-0.0198	0.0237
ORT16_nu_bamrefine5__c0.01__r01	-0.0179	0.0256
ORT16_nu_bamrefine5__c0.01__r02	-0.018	0.0243
ORT16_nu_bamrefine5__c0.01__r03	-0.018	0.0253
ORT16_nu_bamrefine5__c0.01__r04	-0.0191	0.0267
ORT16_nu_bamrefine5__c0.01__r05	-0.0148	0.0211
ORT16_nu_bamrefine5__c0.01__r06	-0.0188	0.0233
ORT16_nu_bamrefine5__c0.01__r07	-0.02	0.022
ORT16_nu_bamrefine5__c0.01__r08	-0.0172	0.0227
ORT16_nu_bamrefine5__c0.01__r09	-0.0189	0.0221
ORT16_nu_bamrefine5__c0.01__r10	-0.0163	0.0239
ORT16_nu_bamrefine5__c0.02__r01	-0.0186	0.0238
ORT16_nu_bamrefine5__c0.02__r02	-0.0176	0.0249
ORT16_nu_bamrefine5__c0.02__r03	-0.0155	0.0244
ORT16_nu_bamrefine5__c0.02__r04	-0.0189	0.0249
ORT16_nu_bamrefine5__c0.02__r05	-0.0168	0.0217
ORT16_nu_bamrefine5__c0.02__r06	-0.0167	0.0237
ORT16_nu_bamrefine5__c0.02__r07	-0.02	0.0235
ORT16_nu_bamrefine5__c0.02__r08	-0.0176	0.0224
ORT16_nu_bamrefine5__c0.02__r09	-0.0177	0.0241
ORT16_nu_bamrefine5__c0.02__r10	-0.0173	0.026
ORT16_nu_bamrefine5__c0.04__r01	-0.0173	0.023
ORT16_nu_bamrefine5__c0.04__r02	-0.017	0.0235
ORT16_nu_bamrefine5__c0.04__r03	-0.0166	0.0239
ORT16_nu_bamrefine5__c0.04__r04	-0.0183	0.0242
ORT16_nu_bamrefine5__c0.04__r05	-0.0175	0.0232
ORT16_nu_bamrefine5__c0.04__r06	-0.0167	0.023
ORT16_nu_bamrefine5__c0.04__r07	-0.0192	0.0231
ORT16_nu_bamrefine5__c0.04__r08	-0.0178	0.023
ORT16_nu_bamrefine5__c0.04__r09	-0.0176	0.0237
ORT16_nu_bamrefine5__c0.04__r10	-0.0181	0.0237
ORT16_nu_bamrefine5__c0.06__r01	-0.0177	0.0231
ORT16_nu_bamrefine5__c0.06__r02	-0.0172	0.0241
ORT16_nu_bamrefine5__c0.06__r03	-0.0171	0.0237
ORT16_nu_bamrefine5__c0.06__r04	-0.0178	0.0243
ORT16_nu_bamrefine5__c0.06__r05	-0.0174	0.0231
ORT16_nu_bamrefine5__c0.06__r06	-0.0169	0.0231
ORT16_nu_bamrefine5__c0.06__r07	-0.0187	0.0231
ORT16_nu_bamrefine5__c0.06__r08	-0.0178	0.0234
ORT16_nu_bamrefine5__c0.06__r09	-0.0176	0.0231
ORT16_nu_bamrefine5__c0.06__r10	-0.0179	0.0235
ORT16_nu_bamrefine5__c0.08__r01	-0.0179	0.0237
ORT16_nu_bamrefine5__c0.08__r02	-0.0172	0.0242
ORT16_nu_bamrefine5__c0.08__r03	-0.0175	0.0235
ORT16_nu_bamrefine5__c0.08__r04	-0.0174	0.0241
ORT16_nu_bamrefine5__c0.08__r05	-0.0174	0.0236
ORT16_nu_bamrefine5__c0.08__r06	-0.0164	0.0234
ORT16_nu_bamrefine5__c0.08__r07	-0.0184	0.0227
ORT16_nu_bamrefine5__c0.08__r08	-0.0179	0.0234
ORT16_nu_bamrefine5__c0.08__r09	-0.0176	0.0235
ORT16_nu_bamrefine5__c0.08__r10	-0.0178	0.0236
ORT16_nu_bamrefine5__c0.1__r01	-0.0182	0.0236
ORT16_nu_bamrefine5__c0.1__r02	-0.0173	0.0237
ORT16_nu_bamrefine5__c0.1__r03	-0.0171	0.0239
ORT16_nu_bamrefine5__c0.1__r04	-0.017	0.0237
ORT16_nu_bamrefine5__c0.1__r05	-0.0175	0.0238
ORT16_nu_bamrefine5__c0.1__r06	-0.0164	0.0232
ORT16_nu_bamrefine5__c0.1__r07	-0.018	0.023
ORT16_nu_bamrefine5__c0.1__r08	-0.0178	0.0234
ORT16_nu_bamrefine5__c0.1__r09	-0.0174	0.0236
ORT16_nu_bamrefine5__c0.1__r10	-0.0175	0.024
ORT16_nu_bamrefine5__c0.2__r01	-0.0172	0.0244
ORT16_nu_bamrefine5__c0.2__r02	-0.0177	0.0241
ORT16_nu_bamrefine5__c0.2__r03	-0.0172	0.0243
ORT16_nu_bamrefine5__c0.2__r04	-0.017	0.024
ORT16_nu_bamrefine5__c0.2__r05	-0.0175	0.0238
ORT16_nu_bamrefine5__c0.2__r06	-0.0167	0.024
ORT16_nu_bamrefine5__c0.2__r07	-0.0173	0.0237
ORT16_nu_bamrefine5__c0.2__r08	-0.0174	0.0245
ORT16_nu_bamrefine5__c0.2__r09	-0.0175	0.0241
ORT16_nu_bamrefine5__c0.2__r10	-0.0174	0.0242
ORT16_nu_bamrefine5__cfull__r01	-0.0172	0.024
ORT16_nu_bamrefine10__c0.01__r01	-0.0176	0.0261
ORT16_nu_bamrefine10__c0.01__r02	-0.0185	0.0255
ORT16_nu_bamrefine10__c0.01__r03	-0.0183	0.0252
ORT16_nu_bamrefine10__c0.01__r04	-0.0198	0.027
ORT16_nu_bamrefine10__c0.01__r05	-0.0162	0.0215
ORT16_nu_bamrefine10__c0.01__r06	-0.0192	0.0223
ORT16_nu_bamrefine10__c0.01__r07	-0.0204	0.0226
ORT16_nu_bamrefine10__c0.01__r08	-0.0182	0.0229
ORT16_nu_bamrefine10__c0.01__r09	-0.0195	0.0227
ORT16_nu_bamrefine10__c0.01__r10	-0.0165	0.0231
ORT16_nu_bamrefine10__c0.02__r01	-0.0185	0.0244
ORT16_nu_bamrefine10__c0.02__r02	-0.0181	0.0251
ORT16_nu_bamrefine10__c0.02__r03	-0.0161	0.0243
ORT16_nu_bamrefine10__c0.02__r04	-0.0194	0.0245
ORT16_nu_bamrefine10__c0.02__r05	-0.0177	0.0214
ORT16_nu_bamrefine10__c0.02__r06	-0.0174	0.0234
ORT16_nu_bamrefine10__c0.02__r07	-0.0207	0.0241
ORT16_nu_bamrefine10__c0.02__r08	-0.0183	0.0218
ORT16_nu_bamrefine10__c0.02__r09	-0.0191	0.0245
ORT16_nu_bamrefine10__c0.02__r10	-0.0175	0.0259
ORT16_nu_bamrefine10__c0.04__r01	-0.0178	0.0229
ORT16_nu_bamrefine10__c0.04__r02	-0.0173	0.024
ORT16_nu_bamrefine10__c0.04__r03	-0.0174	0.0238
ORT16_nu_bamrefine10__c0.04__r04	-0.0189	0.0241
ORT16_nu_bamrefine10__c0.04__r05	-0.0182	0.0225
ORT16_nu_bamrefine10__c0.04__r06	-0.0177	0.0227
ORT16_nu_bamrefine10__c0.04__r07	-0.0198	0.0234
ORT16_nu_bamrefine10__c0.04__r08	-0.0184	0.0233
ORT16_nu_bamrefine10__c0.04__r09	-0.0186	0.0242
ORT16_nu_bamrefine10__c0.04__r10	-0.0185	0.0241
ORT16_nu_bamrefine10__c0.06__r01	-0.0181	0.0228
ORT16_nu_bamrefine10__c0.06__r02	-0.0174	0.0242
ORT16_nu_bamrefine10__c0.06__r03	-0.0178	0.0236
ORT16_nu_bamrefine10__c0.06__r04	-0.0186	0.024
ORT16_nu_bamrefine10__c0.06__r05	-0.018	0.0227
ORT16_nu_bamrefine10__c0.06__r06	-0.0176	0.0234
ORT16_nu_bamrefine10__c0.06__r07	-0.0192	0.0233
ORT16_nu_bamrefine10__c0.06__r08	-0.0184	0.0239
ORT16_nu_bamrefine10__c0.06__r09	-0.0181	0.0235
ORT16_nu_bamrefine10__c0.06__r10	-0.0186	0.0234
ORT16_nu_bamrefine10__c0.08__r01	-0.0182	0.0236
ORT16_nu_bamrefine10__c0.08__r02	-0.0175	0.0242
ORT16_nu_bamrefine10__c0.08__r03	-0.0182	0.0235
ORT16_nu_bamrefine10__c0.08__r04	-0.0183	0.0239
ORT16_nu_bamrefine10__c0.08__r05	-0.0182	0.0233
ORT16_nu_bamrefine10__c0.08__r06	-0.017	0.0232
ORT16_nu_bamrefine10__c0.08__r07	-0.0187	0.023
ORT16_nu_bamrefine10__c0.08__r08	-0.0183	0.0237
ORT16_nu_bamrefine10__c0.08__r09	-0.018	0.024
ORT16_nu_bamrefine10__c0.08__r10	-0.0183	0.0238
ORT16_nu_bamrefine10__c0.1__r01	-0.0184	0.0237
ORT16_nu_bamrefine10__c0.1__r02	-0.0176	0.0238
ORT16_nu_bamrefine10__c0.1__r03	-0.0179	0.0239
ORT16_nu_bamrefine10__c0.1__r04	-0.0179	0.0235
ORT16_nu_bamrefine10__c0.1__r05	-0.018	0.0235
ORT16_nu_bamrefine10__c0.1__r06	-0.0172	0.0234
ORT16_nu_bamrefine10__c0.1__r07	-0.0185	0.0237
ORT16_nu_bamrefine10__c0.1__r08	-0.0184	0.0235
ORT16_nu_bamrefine10__c0.1__r09	-0.0179	0.024
ORT16_nu_bamrefine10__c0.1__r10	-0.0183	0.024
ORT16_nu_bamrefine10__c0.2__r01	-0.0179	0.0243
ORT16_nu_bamrefine10__c0.2__r02	-0.0182	0.0242
ORT16_nu_bamrefine10__c0.2__r03	-0.018	0.0245
ORT16_nu_bamrefine10__c0.2__r04	-0.0176	0.024
ORT16_nu_bamrefine10__c0.2__r05	-0.0181	0.0238
ORT16_nu_bamrefine10__c0.2__r06	-0.0176	0.0241
ORT16_nu_bamrefine10__c0.2__r07	-0.0179	0.0236
ORT16_nu_bamrefine10__c0.2__r08	-0.0181	0.0247
ORT16_nu_bamrefine10__c0.2__r09	-0.018	0.0242
ORT16_nu_bamrefine10__c0.2__r10	-0.0181	0.0242
ORT16_nu_bamrefine10__cfull__r01	-0.0179	0.024
ORT16_nu_raw__c0.01__r01	-0.0177	0.0256
ORT16_nu_raw__c0.01__r02	-0.0169	0.023
ORT16_nu_raw__c0.01__r03	-0.0167	0.0259
ORT16_nu_raw__c0.01__r04	-0.0182	0.0247
ORT16_nu_raw__c0.01__r05	-0.0145	0.0215
ORT16_nu_raw__c0.01__r06	-0.0159	0.0239
ORT16_nu_raw__c0.01__r07	-0.0189	0.0226
ORT16_nu_raw__c0.01__r08	-0.0165	0.0226
ORT16_nu_raw__c0.01__r09	-0.0182	0.0217
ORT16_nu_raw__c0.01__r10	-0.0153	0.0241
ORT16_nu_raw__c0.02__r01	-0.0175	0.0247
ORT16_nu_raw__c0.02__r02	-0.0168	0.0243
ORT16_nu_raw__c0.02__r03	-0.0138	0.0258
ORT16_nu_raw__c0.02__r04	-0.0172	0.0246
ORT16_nu_raw__c0.02__r05	-0.0157	0.0224
ORT16_nu_raw__c0.02__r06	-0.0149	0.0234
ORT16_nu_raw__c0.02__r07	-0.0187	0.0231
ORT16_nu_raw__c0.02__r08	-0.017	0.0225
ORT16_nu_raw__c0.02__r09	-0.0162	0.0238
ORT16_nu_raw__c0.02__r10	-0.0155	0.0258
ORT16_nu_raw__c0.04__r01	-0.0158	0.023
ORT16_nu_raw__c0.04__r02	-0.0159	0.0235
ORT16_nu_raw__c0.04__r03	-0.0149	0.0244
ORT16_nu_raw__c0.04__r04	-0.017	0.0239
ORT16_nu_raw__c0.04__r05	-0.0163	0.0233
ORT16_nu_raw__c0.04__r06	-0.0153	0.0231
ORT16_nu_raw__c0.04__r07	-0.0179	0.0227
ORT16_nu_raw__c0.04__r08	-0.0172	0.023
ORT16_nu_raw__c0.04__r09	-0.0162	0.0236
ORT16_nu_raw__c0.04__r10	-0.0168	0.0243
ORT16_nu_raw__c0.06__r01	-0.016	0.0232
ORT16_nu_raw__c0.06__r02	-0.0161	0.0241
ORT16_nu_raw__c0.06__r03	-0.0154	0.0238
ORT16_nu_raw__c0.06__r04	-0.0165	0.0241
ORT16_nu_raw__c0.06__r05	-0.0161	0.0233
ORT16_nu_raw__c0.06__r06	-0.0153	0.0233
ORT16_nu_raw__c0.06__r07	-0.0173	0.0232
ORT16_nu_raw__c0.06__r08	-0.0167	0.0234
ORT16_nu_raw__c0.06__r09	-0.0159	0.0233
ORT16_nu_raw__c0.06__r10	-0.0165	0.024
ORT16_nu_raw__c0.08__r01	-0.0163	0.0236
ORT16_nu_raw__c0.08__r02	-0.0159	0.0242
ORT16_nu_raw__c0.08__r03	-0.0155	0.0237
ORT16_nu_raw__c0.08__r04	-0.0162	0.0243
ORT16_nu_raw__c0.08__r05	-0.0161	0.0239
ORT16_nu_raw__c0.08__r06	-0.015	0.0231
ORT16_nu_raw__c0.08__r07	-0.0169	0.0227
