iid	pc1	pc2
ORT15_fu_raw__c0.04__r07	-0.0194	0.0271
ORT15_fu_raw__c0.04__r08	-0.0207	0.0274
ORT15_fu_raw__c0.04__r09	-0.0197	0.0262
ORT15_fu_raw__c0.04__r10	-0.0204	0.03
ORT15_fu_raw__c0.06__r01	-0.0198	0.0276
ORT15_fu_raw__c0.06__r02	-0.0202	0.028
ORT15_fu_raw__c0.06__r03	-0.0197	0.0269
ORT15_fu_raw__c0.06__r04	-0.0192	0.0274
ORT15_fu_raw__c0.06__r05	-0.0201	0.0292
ORT15_fu_raw__c0.06__r06	-0.0202	0.028
ORT15_fu_raw__c0.06__r07	-0.0185	0.0277
ORT15_fu_raw__c0.06__r08	-0.02	0.0273
ORT15_fu_raw__c0.06__r09	-0.02	0.0261
ORT15_fu_raw__c0.06__r10	-0.0203	0.0294
ORT15_fu_raw__c0.08__r01	-0.0197	0.0277
ORT15_fu_raw__c0.08__r02	-0.0199	0.0275
ORT15_fu_raw__c0.08__r03	-0.0201	0.0272
ORT15_fu_raw__c0.08__r04	-0.019	0.0277
ORT15_fu_raw__c0.08__r05	-0.02	0.0289
ORT15_fu_raw__c0.08__r06	-0.0199	0.0281
ORT15_fu_raw__c0.08__r07	-0.0186	0.0285
ORT15_fu_raw__c0.08__r08	-0.0198	0.0274
ORT15_fu_raw__c0.08__r09	-0.02	0.0267
ORT15_fu_raw__c0.08__r10	-0.02	0.0293
ORT15_fu_raw__c0.1__r01	-0.0194	0.0273
ORT15_fu_raw__c0.1__r02	-0.0196	0.0276
ORT15_fu_raw__c0.1__r03	-0.0202	0.028
ORT15_fu_raw__c0.1__r04	-0.019	0.0279
ORT15_fu_raw__c0.1__r05	-0.02	0.0293
ORT15_fu_raw__c0.1__r06	-0.0199	0.0284
ORT15_fu_raw__c0.1__r07	-0.019	0.0284
ORT15_fu_raw__c0.1__r08	-0.0198	0.0275
ORT15_fu_raw__c0.1__r09	-0.02	0.027
ORT15_fu_raw__c0.1__r10	-0.0196	0.0287
ORT15_fu_raw__c0.2__r01	-0.0195	0.0275
ORT15_fu_raw__c0.2__r02	-0.0194	0.0275
ORT15_fu_raw__c0.2__r03	-0.0202	0.0279
ORT15_fu_raw__c0.2__r04	-0.0193	0.0282
ORT15_fu_raw__c0.2__r05	-0.0199	0.0282
ORT15_fu_raw__c0.2__r06	-0.0197	0.0276
ORT15_fu_raw__c0.2__r07	-0.0197	0.0281
ORT15_fu_raw__c0.2__r08	-0.0194	0.0275
ORT15_fu_raw__c0.2__r09	-0.0199	0.0275
ORT15_fu_raw__c0.2__r10	-0.0194	0.0278
ORT15_fu_raw__cfull__r01	-0.0196	0.0278
ORT15_fu_rescale5__c0.01__r01	-0.0187	0.0263
