individual,NRD_bamRefine5_pct,NRD_Rescale5_pct,deltaNRD_pp,jackknife_est_pp,jackknife_SE_pp,CI95_lo_pp,CI95_hi_pp,CI_excludes_zero
ORT15,18.2961,18.3164,-0.0203,-0.0208,0.0875,-0.2028,+0.1612,no
ORT16,14.8823,14.8521,+0.0302,+0.0302,0.0660,-0.1072,+0.1675,no
